YEAR,FISHERY_SECTOR,GEAR,MAJOR_STAT_AREA_CODE,SPECIES_CODE,SPECIES_COMMON_NAME,LANDED_KG,DISCARDED_KG,DISCARDED_PCS
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,19911,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,222516,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,6,626,DOVER SOLE,6466,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,42408,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,29858,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,388183,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,7,626,DOVER SOLE,2228,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,10786,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,533741,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,4250,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,778645,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,107199,0,0
1956,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,716027,0,0
1956,GROUNDFISH TRAWL,UNKNOWN TRAWL,1,626,DOVER SOLE,5,0,0
1956,GROUNDFISH TRAWL,UNKNOWN TRAWL,1,628,ENGLISH SOLE,955,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,24265,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,5427,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,57874,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,87248,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,200169,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,2,628,ENGLISH SOLE,358,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,177498,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,236530,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,45941,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,45539,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,5439,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,5970,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,25273,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,4,626,DOVER SOLE,1814,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,178,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,235644,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,67605,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,495606,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,5,626,DOVER SOLE,1528,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,4002,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,205,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,21635,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,175369,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,6,626,DOVER SOLE,454,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,8105,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,7,602,ARROWTOOTH FLOUNDER,1301,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,48593,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,787295,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,5764,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,139415,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,113907,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,392402,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,90287,0,0
1957,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,254359,0,0
1957,GROUNDFISH TRAWL,UNKNOWN TRAWL,1,628,ENGLISH SOLE,358,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,81662,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,11633,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,58504,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,71635,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,159939,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,2,607,PETRALE SOLE,117,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,2,621,SOUTHERN ROCK SOLE,1224,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,2,626,DOVER SOLE,120,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,2,628,ENGLISH SOLE,2678,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,165596,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,187116,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,22018,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,35465,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,11348,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,14618,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,34133,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,4,626,DOVER SOLE,535,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,296,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,35177,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,24057,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,470765,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,4152,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,992,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,46442,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,318977,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,6,626,DOVER SOLE,268,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,6421,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,7,602,ARROWTOOTH FLOUNDER,12247,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,20399,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,367113,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,7,626,DOVER SOLE,20,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,6681,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,102558,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,115207,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,825873,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,45098,0,0
1958,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,403753,0,0
1958,GROUNDFISH TRAWL,UNKNOWN TRAWL,1,628,ENGLISH SOLE,1934,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,193520,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,18254,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,41192,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,91558,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,157365,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,178285,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,182637,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,26958,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,6258,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,7323,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,4,602,ARROWTOOTH FLOUNDER,454,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,5989,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,3403,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,23,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,177893,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,20728,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,165577,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,9168,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,1081,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,40631,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,307517,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,6,626,DOVER SOLE,1921,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,6,628,ENGLISH SOLE,11749,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,7,602,ARROWTOOTH FLOUNDER,113,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,7,607,PETRALE SOLE,35729,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,7,621,SOUTHERN ROCK SOLE,231252,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,7,626,DOVER SOLE,225,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,7,628,ENGLISH SOLE,22560,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,8,602,ARROWTOOTH FLOUNDER,299496,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,8,607,PETRALE SOLE,77921,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,8,621,SOUTHERN ROCK SOLE,118108,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,8,626,DOVER SOLE,9960,0,0
1959,GROUNDFISH TRAWL,BOTTOM TRAWL,8,628,ENGLISH SOLE,551644,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,1,602,ARROWTOOTH FLOUNDER,221833,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,1,607,PETRALE SOLE,15641,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,1,621,SOUTHERN ROCK SOLE,50257,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,1,626,DOVER SOLE,81955,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,1,628,ENGLISH SOLE,169614,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,2,628,ENGLISH SOLE,6182,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,3,602,ARROWTOOTH FLOUNDER,117627,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,3,607,PETRALE SOLE,193737,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,3,621,SOUTHERN ROCK SOLE,45880,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,3,626,DOVER SOLE,4138,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,3,628,ENGLISH SOLE,7871,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,4,602,ARROWTOOTH FLOUNDER,4611,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,4,607,PETRALE SOLE,12928,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,4,621,SOUTHERN ROCK SOLE,2830,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,4,626,DOVER SOLE,816,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,4,628,ENGLISH SOLE,812,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,5,602,ARROWTOOTH FLOUNDER,341630,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,5,607,PETRALE SOLE,49178,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,5,621,SOUTHERN ROCK SOLE,323582,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,5,628,ENGLISH SOLE,18966,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,6,602,ARROWTOOTH FLOUNDER,38233,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,6,607,PETRALE SOLE,65988,0,0
1960,GROUNDFISH TRAWL,BOTTOM TRAWL,6,621,SOUTHERN ROCK SOLE,389212,0,0
